,id,cluster,genero,ocupacion,estado_civil,ingreso_anual
0,200000001,0,0,1,0,110866
1,200000002,2,1,2,1,159052
2,200000003,0,0,1,0,113212
3,200000004,0,0,0,0,119602
4,200000005,0,0,1,0,121466
5,200000006,0,0,1,0,112347
6,200000007,0,0,2,0,125190
7,200000008,0,0,1,0,131122
8,200000009,0,0,0,0,108960
9,200000010,1,0,0,0,69370
10,200000011,2,0,2,0,181262
11,200000012,0,0,1,0,122830
12,200000013,0,0,0,0,116525
13,200000014,1,0,0,0,76881
14,200000015,1,1,0,0,72188
15,200000016,0,1,1,0,110287
16,200000017,0,0,1,0,102723
17,200000018,0,0,0,0,104505
18,200000019,1,0,0,1,72429
19,200000020,1,1,0,0,58207
20,200000021,0,0,1,0,135754
21,200000022,0,0,1,0,121347
22,200000023,1,0,0,0,94868
23,200000024,1,1,0,1,88428
24,200000025,0,0,1,0,107633
25,200000026,2,0,2,0,170146
26,200000027,0,1,1,1,112422
27,200000028,1,1,0,0,53608
28,200000029,0,1,1,0,119068
29,200000030,1,0,0,1,81210
30,200000031,1,1,0,0,81014
31,200000032,0,1,1,1,103181
32,200000033,2,0,1,0,172957
33,200000034,1,0,0,1,71310
34,200000035,0,0,1,0,121592
35,200000036,1,1,0,0,94674
36,200000037,0,0,1,0,133105
37,200000038,0,0,1,0,124990
38,200000039,0,0,1,1,126400
39,200000040,0,0,1,0,106215
41,200000042,1,0,0,0,85270
42,200000043,1,1,0,0,67861
43,200000044,1,0,0,0,69415
44,200000045,0,0,0,0,102617
45,200000046,1,0,0,1,69487
46,200000047,0,0,1,0,135090
47,200000048,1,0,0,0,83442
48,200000049,2,0,2,1,146519
49,200000050,1,1,0,1,43805
50,200000051,0,1,1,0,103787
51,200000052,2,1,1,1,164915
52,200000053,1,0,0,0,43684
53,200000054,2,0,1,0,159714
54,200000055,1,0,2,0,91019
55,200000056,1,0,0,0,75705
56,200000057,2,0,2,1,215150
57,200000058,0,0,1,0,116261
58,200000059,0,1,1,1,106987
59,200000060,2,0,2,1,161999
60,200000061,0,0,1,0,113572
61,200000062,0,0,1,1,108315
62,200000063,0,1,1,1,123194
63,200000064,1,1,0,1,81200
64,200000065,0,1,1,1,120682
65,200000066,2,0,1,0,157940
66,200000067,1,0,0,0,64105
67,200000068,1,0,0,1,62263
68,200000069,0,0,1,0,109053
69,200000070,1,1,0,0,78754
70,200000071,2,0,2,1,168763
71,200000072,0,0,1,0,101210
72,200000073,2,0,2,0,151914
73,200000074,0,1,0,0,106559
74,200000075,0,0,1,0,111821
